"","x"
"1133","7582"
"1134","151126"
"1135","252884"
"1136","10224"
"1137","51710"
"1138","162968"
"1139","84215"
"1140","147947"
"1141","256051"
"1142","79230"
"1143","148156"
"1144","163050"
"1145","51385"
"1146","79891"
"1147","146542"
"1148","55657"
"1149","7620"
"1150","163051"
"1151","442319"
"1152","7625"
"1153","90576"
"1154","55565"
"1155","128611"
"1156","90485"
"1157","283933"
"1158","54753"
"1159","345462"
"1160","148198"
"1161","221584"
"1162","65982"
"1163","284312"
"1164","54993"
